   3.8905E-04   4.1687E-04   1.1722E-04  0.0345   0.0000E+00  0.0000
   4.1687E-04   4.4668E-04   1.2210E-04  0.0335   0.0000E+00  0.0000
   4.4668E-04   4.7863E-04   1.2605E-04  0.0309   0.0000E+00  0.0000
   4.7863E-04   5.1286E-04   1.3623E-04  0.0293   0.0000E+00  0.0000
   5.1286E-04   5.4954E-04   1.4064E-04  0.0273   0.0000E+00  0.0000
   5.4954E-04   5.8884E-04   1.3908E-04  0.0263   0.0000E+00  0.0000
   5.8884E-04   6.3096E-04   1.5255E-04  0.0245   0.0000E+00  0.0000
   6.3096E-04   6.7608E-04   1.6609E-04  0.0228   0.0000E+00  0.0000
   6.7608E-04   7.2444E-04   1.7085E-04  0.0217   0.0000E+00  0.0000
   7.2444E-04   7.7625E-04   1.7742E-04  0.0206   0.0000E+00  0.0000
   7.7625E-04   8.3176E-04   1.7691E-04  0.0200   0.0000E+00  0.0000
   8.3176E-04   8.9125E-04   1.9166E-04  0.0184   0.0000E+00  0.0000
   8.9125E-04   9.5499E-04   1.9945E-04  0.0176   0.0000E+00  0.0000
   9.5499E-04   1.0233E-03   2.0780E-04  0.0165   6.6518E-07  0.0006
   1.0233E-03   1.0965E-03   2.0941E-04  0.0160   2.0868E-06  0.0004
   1.0965E-03   1.1749E-03   2.1339E-04  0.0153   2.2917E-06  0.0004
   1.1749E-03   1.2589E-03   2.3398E-04  0.0140   2.5021E-06  0.0004
   1.2589E-03   1.3490E-03   2.4402E-04  0.0132   2.7225E-06  0.0004
   1.3490E-03   1.4454E-03   2.6319E-04  0.0123   2.9503E-06  0.0004
   1.4454E-03   1.5488E-03   2.8814E-04  0.0115   3.1895E-06  0.0004
   1.5488E-03   1.6596E-03   3.1088E-04  0.0106   3.4637E-06  0.0004
   1.6596E-03   1.7783E-03   3.2268E-04  0.0099   3.7543E-06  0.0004
   1.7783E-03   1.9055E-03   3.3359E-04  0.0094   4.0602E-06  0.0004
   1.9055E-03   2.0417E-03   2.9625E-04  0.0098   4.3421E-06  0.0004
   2.0417E-03   2.1878E-03   3.0683E-04  0.0094   4.1636E-06  0.0004
   2.1878E-03   2.3442E-03   3.1159E-04  0.0090   4.3347E-06  0.0004
   2.3442E-03   2.5119E-03   2.9810E-04  0.0088   4.1184E-06  0.0004
   2.5119E-03   2.6915E-03   3.0652E-04  0.0085   1.7217E-06  0.0004
   2.6915E-03   2.8840E-03   3.3906E-04  0.0077   1.4903E-06  0.0004
   2.8840E-03   3.0903E-03   3.6379E-04  0.0072   1.5054E-06  0.0004
   3.0903E-03   3.3113E-03   3.9752E-04  0.0067   1.4582E-06  0.0004
   3.3113E-03   3.5481E-03   4.1747E-04  0.0062   1.6023E-06  0.0004
   3.5481E-03   3.8019E-03   4.4350E-04  0.0059   1.6623E-06  0.0004
   3.8019E-03   4.0738E-03   4.3015E-04  0.0058   1.7530E-06  0.0004
   4.0738E-03   4.3652E-03   4.6774E-04  0.0053   1.9016E-06  0.0004
   4.3652E-03   4.6774E-03   4.8561E-04  0.0051   2.0873E-06  0.0004
   4.6774E-03   5.0119E-03   5.2075E-04  0.0047   2.2892E-06  0.0004
   5.0119E-03   5.3703E-03   5.5511E-04  0.0044   2.5173E-06  0.0004
   5.3703E-03   5.7544E-03   5.4729E-04  0.0043   2.7714E-06  0.0004
   5.7544E-03   6.1660E-03   6.1434E-04  0.0039   3.0530E-06  0.0004
   6.1660E-03   6.6069E-03   6.5252E-04  0.0037   3.3430E-06  0.0004
   6.6069E-03   7.0795E-03   7.0628E-04  0.0034   3.6775E-06  0.0004
   7.0795E-03   7.5858E-03   7.0192E-04  0.0033   4.0486E-06  0.0004
   7.5858E-03   8.1283E-03   5.8300E-04  0.0035   4.4636E-06  0.0004
   8.1283E-03   8.7096E-03   6.2753E-04  0.0033   4.9240E-06  0.0004
   8.7096E-03   9.3325E-03   6.5802E-04  0.0031   9.5041E-06  0.0003
   9.3325E-03   1.0000E-02   6.7425E-04  0.0029   6.0100E-06  0.0004
   1.0000E-02   1.0715E-02   7.4186E-04  0.0027   1.0738E-04  0.0001
   1.0715E-02   1.1482E-02   7.4790E-04  0.0026   8.8208E-06  0.0004
   1.1482E-02   1.2303E-02   8.3147E-04  0.0024   9.9308E-06  0.0004
   1.2303E-02   1.3183E-02   8.5659E-04  0.0023   1.3085E-04  0.0001
   1.3183E-02   1.4125E-02   8.2438E-04  0.0022   4.2899E-06  0.0004
   1.4125E-02   1.5136E-02   8.7034E-04  0.0021   1.4268E-05  0.0002
   1.5136E-02   1.6218E-02   8.2880E-04  0.0021   6.4591E-06  0.0003
   1.6218E-02   1.7378E-02   9.3617E-04  0.0019   3.4137E-06  0.0004
   1.7378E-02   1.8621E-02   8.6706E-04  0.0019   3.9488E-06  0.0004
   1.8621E-02   1.9953E-02   1.0162E-03  0.0017   4.8505E-06  0.0004
   1.9953E-02   2.1380E-02   1.0048E-03  0.0016   4.4322E-06  0.0004
   2.1380E-02   2.2909E-02   1.1328E-03  0.0015   4.9136E-06  0.0004
   2.2909E-02   2.4547E-02   1.3493E-03  0.0013   5.6132E-06  0.0004
   2.4547E-02   2.6303E-02   1.4670E-03  0.0012   6.1142E-06  0.0004
   2.6303E-02   2.8184E-02   1.0760E-03  0.0014   6.5818E-06  0.0005
   2.8184E-02   3.0200E-02   1.0258E-03  0.0014   7.4777E-06  0.0005
   3.0200E-02   3.2359E-02   1.2178E-03  0.0012   8.2970E-06  0.0005
   3.2359E-02   3.4674E-02   1.2449E-03  0.0012   9.4656E-06  0.0005
   3.4674E-02   3.7154E-02   1.2769E-03  0.0011   1.0850E-05  0.0004
   3.7154E-02   3.9811E-02   1.4077E-03  0.0010   1.1056E-05  0.0005
   3.9811E-02   4.2658E-02   1.4240E-03  0.0010   1.1764E-05  0.0005
   4.2658E-02   4.5709E-02   1.4595E-03  0.0009   1.3389E-05  0.0005
   4.5709E-02   4.8978E-02   1.6531E-03  0.0008   1.5096E-05  0.0005
   4.8978E-02   5.2481E-02   1.6147E-03  0.0008   1.6150E-05  0.0005
   5.2481E-02   5.6234E-02   1.5213E-03  0.0008   1.8975E-05  0.0005
   5.6234E-02   6.0256E-02   1.6389E-03  0.0008   2.4830E-05  0.0004
   6.0256E-02   6.4565E-02   1.8080E-03  0.0007   2.9713E-05  0.0004
   6.4565E-02   6.9183E-02   1.8370E-03  0.0007   3.6514E-05  0.0004
   6.9183E-02   7.4131E-02   1.9536E-03  0.0006   4.7841E-04  0.0001
   7.4131E-02   7.9433E-02   1.8356E-03  0.0006   7.8251E-04  0.0001
   7.9433E-02   8.5114E-02   1.8680E-03  0.0006   3.6343E-04  0.0002
   8.5114E-02   9.1201E-02   1.9889E-03  0.0006   1.2368E-04  0.0003
   9.1201E-02   9.7724E-02   2.0430E-03  0.0005   7.9335E-06  0.0005
   9.7724E-02   1.0471E-01   2.0540E-03  0.0005   8.9351E-06  0.0005
   1.0471E-01   1.1220E-01   2.1305E-03  0.0005   1.0271E-05  0.0005
   1.1220E-01   1.2023E-01   2.2557E-03  0.0005   1.2292E-05  0.0005
   1.2023E-01   1.2882E-01   2.3635E-03  0.0004   2.0164E-05  0.0004
   1.2882E-01   1.3804E-01   2.5647E-03  0.0004   1.6720E-05  0.0005
   1.3804E-01   1.4791E-01   2.3167E-03  0.0004   2.1418E-05  0.0005
   1.4791E-01   1.5849E-01   2.4021E-03  0.0004   3.1181E-05  0.0004
   1.5849E-01   1.6982E-01   2.5793E-03  0.0004   3.4704E-05  0.0004
   1.6982E-01   1.8197E-01   2.6840E-03  0.0004   5.4700E-05  0.0003
   1.8197E-01   1.9498E-01   2.6520E-03  0.0003   6.2863E-05  0.0003
   1.9498E-01   2.0893E-01   2.7354E-03  0.0003   8.7548E-05  0.0003
   2.0893E-01   2.2387E-01   2.7859E-03  0.0003   9.9489E-05  0.0003
   2.2387E-01   2.3988E-01   2.8248E-03  0.0003   9.7506E-05  0.0003
   2.3988E-01   2.5704E-01   2.8523E-03  0.0003   1.0763E-04  0.0003
   2.5704E-01   2.7542E-01   3.0148E-03  0.0003   1.1645E-04  0.0003
   2.7542E-01   2.9512E-01   2.8778E-03  0.0003   1.3111E-04  0.0003
   2.9512E-01   3.1623E-01   3.1644E-03  0.0003   1.3769E-04  0.0003
   3.1623E-01   3.3884E-01   3.0047E-03  0.0003   2.0530E-04  0.0003
   3.3884E-01   3.6308E-01   3.2385E-03  0.0002   2.0715E-04  0.0003
   3.6308E-01   3.8905E-01   3.2124E-03  0.0002   2.3157E-04  0.0002
   3.8905E-01   4.1687E-01   3.2204E-03  0.0002   1.5629E-04  0.0003
   4.1687E-01   4.4668E-01   3.2722E-03  0.0002   1.6702E-04  0.0003
   4.4668E-01   4.7863E-01   3.2720E-03  0.0002   1.8367E-04  0.0003
   4.7863E-01   5.1286E-01   3.4089E-03  0.0002   6.2649E-04  0.0002
   5.1286E-01   5.4954E-01   3.3059E-03  0.0002   3.9655E-04  0.0002
   5.4954E-01   5.8884E-01   3.3206E-03  0.0002   6.7541E-04  0.0002
   5.8884E-01   6.3096E-01   3.3617E-03  0.0002   1.3667E-04  0.0004
   6.3096E-01   6.7608E-01   3.2648E-03  0.0002   2.8756E-04  0.0003
   6.7608E-01   7.2444E-01   3.3373E-03  0.0002   1.4995E-04  0.0003
   7.2444E-01   7.7625E-01   3.1899E-03  0.0002   1.4411E-04  0.0003
   7.7625E-01   8.3176E-01   3.1537E-03  0.0002   9.0864E-04  0.0001
   8.3176E-01   8.9125E-01   3.0094E-03  0.0002   2.1697E-04  0.0003
   8.9125E-01   9.5499E-01   3.0151E-03  0.0002   2.3820E-04  0.0003
   9.5499E-01   1.0233E+00   2.9096E-03  0.0002   1.2206E-04  0.0004
   1.0233E+00   1.0965E+00   2.8009E-03  0.0001   5.0824E-05  0.0006
   1.0965E+00   1.1749E+00   2.7254E-03  0.0001   5.9030E-05  0.0005
   1.1749E+00   1.2589E+00   2.6329E-03  0.0001   5.4114E-05  0.0005
   1.2589E+00   1.3490E+00   2.4967E-03  0.0001   4.9809E-05  0.0005
   1.3490E+00   1.4454E+00   2.3947E-03  0.0001   9.4072E-05  0.0004
   1.4454E+00   1.5488E+00   2.2525E-03  0.0001   4.4096E-05  0.0005
   1.5488E+00   1.6596E+00   2.1617E-03  0.0001   7.0755E-05  0.0004
   1.6596E+00   1.7783E+00   1.9485E-03  0.0001   9.1833E-05  0.0004
   1.7783E+00   1.9055E+00   1.8760E-03  0.0001   3.0431E-05  0.0006
   1.9055E+00   2.0417E+00   1.7120E-03  0.0001   2.2689E-05  0.0007
   2.0417E+00   2.1878E+00   1.5562E-03  0.0001   5.2274E-05  0.0004
   2.1878E+00   2.3442E+00   1.4265E-03  0.0001   3.0193E-05  0.0006
   2.3442E+00   2.5119E+00   1.2822E-03  0.0001   1.8363E-05  0.0007
   2.5119E+00   2.6915E+00   1.1499E-03  0.0001   1.3418E-04  0.0002
   2.6915E+00   2.8840E+00   1.0064E-03  0.0001   1.2756E-05  0.0008
   2.8840E+00   3.0903E+00   8.6940E-04  0.0002   2.2924E-05  0.0006
   3.0903E+00   3.3113E+00   7.5599E-04  0.0002   4.7259E-05  0.0004
   3.3113E+00   3.5481E+00   6.4341E-04  0.0002   3.4897E-05  0.0004
   3.5481E+00   3.8019E+00   5.5133E-04  0.0002   2.3355E-05  0.0005
   3.8019E+00   4.0738E+00   4.6188E-04  0.0002   2.9829E-05  0.0004
   4.0738E+00   4.3652E+00   3.8034E-04  0.0002   3.8623E-05  0.0004
   4.3652E+00   4.6774E+00   3.1050E-04  0.0002   1.3192E-05  0.0006
   4.6774E+00   5.0119E+00   2.5212E-04  0.0002   1.1202E-05  0.0006
   5.0119E+00   5.3703E+00   2.0278E-04  0.0002   8.1800E-06  0.0007
   5.3703E+00   5.7544E+00   1.6098E-04  0.0002   5.9085E-06  0.0008
   5.7544E+00   6.1660E+00   1.2582E-04  0.0003   4.1935E-06  0.0009
   6.1660E+00   6.6069E+00   9.6482E-05  0.0003   2.9133E-06  0.0011
   6.6069E+00   7.0795E+00   7.2279E-05  0.0003   1.9781E-06  0.0012
   7.0795E+00   7.5858E+00   5.2744E-05  0.0004   1.2108E-06  0.0015
   7.5858E+00   8.1283E+00   3.7469E-05  0.0004   6.7024E-07  0.0020
   8.1283E+00   8.7096E+00   2.5834E-05  0.0005   2.5985E-07  0.0031
   8.7096E+00   9.3325E+00   1.7312E-05  0.0006   1.0685E-07  0.0046
   9.3325E+00   1.0000E+01   1.1223E-05  0.0007   4.9243E-08  0.0066

#   sum over                 7.7187E-04           4.0661E-05

'no. =  1,  reg  =    101'
msuc: {\huge Particle flux by regions}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.17}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.8878E+03 [cm^3]
e:

#------------------------------------------------------------------------------
 newpage:
#   no. =  2   reg =    102

x: Energy [MeV]
y: Flux [1/cm^2/MeV/source]          
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(neutron ),hh0l   n y(photon  ),hh0dr  n 
#  e-lower      e-upper      neutron     r.err    photon      r.err 
   1.0000E-05   1.0715E-05   2.7365E-05  0.2513   0.0000E+00  0.0000
   1.0715E-05   1.1482E-05   2.6251E-05  0.2220   0.0000E+00  0.0000
   1.1482E-05   1.2303E-05   3.2188E-05  0.2109   0.0000E+00  0.0000
   1.2303E-05   1.3183E-05   3.5358E-05  0.1971   0.0000E+00  0.0000
   1.3183E-05   1.4125E-05   3.4091E-05  0.1965   0.0000E+00  0.0000
   1.4125E-05   1.5136E-05   4.4536E-05  0.1876   0.0000E+00  0.0000
   1.5136E-05   1.6218E-05   2.8072E-05  0.1701   0.0000E+00  0.0000
   1.6218E-05   1.7378E-05   5.2142E-05  0.1543   0.0000E+00  0.0000
   1.7378E-05   1.8621E-05   4.7838E-05  0.1625   0.0000E+00  0.0000
   1.8621E-05   1.9953E-05   4.8937E-05  0.1447   0.0000E+00  0.0000
   1.9953E-05   2.1380E-05   4.6098E-05  0.1461   0.0000E+00  0.0000
   2.1380E-05   2.2909E-05   5.1200E-05  0.1302   0.0000E+00  0.0000
   2.2909E-05   2.4547E-05   6.2978E-05  0.1097   0.0000E+00  0.0000
   2.4547E-05   2.6303E-05   7.4073E-05  0.1040   0.0000E+00  0.0000
   2.6303E-05   2.8184E-05   6.7026E-05  0.0990   0.0000E+00  0.0000
   2.8184E-05   3.0200E-05   6.9803E-05  0.0982   0.0000E+00  0.0000
   3.0200E-05   3.2359E-05   8.0955E-05  0.0851   0.0000E+00  0.0000
   3.2359E-05   3.4674E-05   7.5421E-05  0.0862   0.0000E+00  0.0000
   3.4674E-05   3.7154E-05   9.9745E-05  0.0804   0.0000E+00  0.0000
   3.7154E-05   3.9811E-05   9.4153E-05  0.0727   0.0000E+00  0.0000
   3.9811E-05   4.2658E-05   1.0300E-04  0.0704   0.0000E+00  0.0000
   4.2658E-05   4.5709E-05   1.0063E-04  0.0645   0.0000E+00  0.0000
   4.5709E-05   4.8978E-05   1.1141E-04  0.0602   0.0000E+00  0.0000
   4.8978E-05   5.2481E-05   1.1282E-04  0.0564   0.0000E+00  0.0000
   5.2481E-05   5.6234E-05   1.2861E-04  0.0530   0.0000E+00  0.0000
   5.6234E-05   6.0256E-05   1.3746E-04  0.0506   0.0000E+00  0.0000
   6.0256E-05   6.4565E-05   1.4943E-04  0.0453   0.0000E+00  0.0000
   6.4565E-05   6.9183E-05   1.6263E-04  0.0427   0.0000E+00  0.0000
   6.9183E-05   7.4131E-05   1.7769E-04  0.0401   0.0000E+00  0.0000
   7.4131E-05   7.9433E-05   1.8727E-04  0.0375   0.0000E+00  0.0000
   7.9433E-05   8.5114E-05   2.0388E-04  0.0345   0.0000E+00  0.0000
   8.5114E-05   9.1201E-05   2.3617E-04  0.0318   0.0000E+00  0.0000
   9.1201E-05   9.7724E-05   2.5453E-04  0.0288   0.0000E+00  0.0000
   9.7724E-05   1.0471E-04   2.6955E-04  0.0272   0.0000E+00  0.0000
   1.0471E-04   1.1220E-04   2.9749E-04  0.0250   0.0000E+00  0.0000
   1.1220E-04   1.2023E-04   3.3908E-04  0.0232   0.0000E+00  0.0000
   1.2023E-04   1.2882E-04   3.9225E-04  0.0209   0.0000E+00  0.0000
   1.2882E-04   1.3804E-04   4.2264E-04  0.0196   0.0000E+00  0.0000
   1.3804E-04   1.4791E-04   4.5891E-04  0.0182   0.0000E+00  0.0000
   1.4791E-04   1.5849E-04   4.9176E-04  0.0173   0.0000E+00  0.0000
   1.5849E-04   1.6982E-04   4.5107E-04  0.0174   0.0000E+00  0.0000
   1.6982E-04   1.8197E-04   3.4402E-04  0.0191   0.0000E+00  0.0000
   1.8197E-04   1.9498E-04   1.9694E-04  0.0238   0.0000E+00  0.0000
   1.9498E-04   2.0893E-04   9.4654E-05  0.0329   0.0000E+00  0.0000
   2.0893E-04   2.2387E-04   6.3594E-05  0.0389   0.0000E+00  0.0000
   2.2387E-04   2.3988E-04   6.3873E-05  0.0363   0.0000E+00  0.0000
   2.3988E-04   2.5704E-04   7.5628E-05  0.0331   0.0000E+00  0.0000
   2.5704E-04   2.7542E-04   7.6272E-05  0.0320   0.0000E+00  0.0000
   2.7542E-04   2.9512E-04   7.5263E-05  0.0313   0.0000E+00  0.0000
   2.9512E-04   3.1623E-04   6.6681E-05  0.0318   0.0000E+00  0.0000
   3.1623E-04   3.3884E-04   6.2488E-05  0.0326   0.0000E+00  0.0000
