[ T - Deposit ]
    title = Energy Deposition in silicon (all)
     mesh =  reg            # mesh type is region-wise
      reg = 103
     unit =    3            # unit is [1/source] : only for output=deposit
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output = deposit         # deposit enerygy distribution
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =  1.0000000E-05  # minimum value of e-mesh points
     emax =  0.5000000      # maximum value of e-mesh points
#    edel =  2.4999500E-03  # mesh width of e-mesh points
       ne =    200          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-05  2.50995E-03  5.00990E-03  7.50985E-03  1.00098E-02
#           1.25098E-02  1.50097E-02  1.75096E-02  2.00096E-02  2.25095E-02
#           2.50095E-02  2.75094E-02  3.00094E-02  3.25093E-02  3.50093E-02
#           3.75093E-02  4.00092E-02  4.25092E-02  4.50091E-02  4.75091E-02
#           5.00090E-02  5.25089E-02  5.50089E-02  5.75089E-02  6.00088E-02
#           6.25088E-02  6.50087E-02  6.75086E-02  7.00086E-02  7.25085E-02
#           7.50085E-02  7.75084E-02  8.00084E-02  8.25083E-02  8.50083E-02
#           8.75082E-02  9.00082E-02  9.25081E-02  9.50081E-02  9.75080E-02
#           1.00008E-01  1.02508E-01  1.05008E-01  1.07508E-01  1.10008E-01
#           1.12508E-01  1.15008E-01  1.17508E-01  1.20008E-01  1.22508E-01
#           1.25007E-01  1.27507E-01  1.30007E-01  1.32507E-01  1.35007E-01
#           1.37507E-01  1.40007E-01  1.42507E-01  1.45007E-01  1.47507E-01
#           1.50007E-01  1.52507E-01  1.55007E-01  1.57507E-01  1.60007E-01
#           1.62507E-01  1.65007E-01  1.67507E-01  1.70007E-01  1.72507E-01
#           1.75007E-01  1.77506E-01  1.80006E-01  1.82506E-01  1.85006E-01
#           1.87506E-01  1.90006E-01  1.92506E-01  1.95006E-01  1.97506E-01
#           2.00006E-01  2.02506E-01  2.05006E-01  2.07506E-01  2.10006E-01
#           2.12506E-01  2.15006E-01  2.17506E-01  2.20006E-01  2.22506E-01
#           2.25005E-01  2.27505E-01  2.30005E-01  2.32505E-01  2.35005E-01
#           2.37505E-01  2.40005E-01  2.42505E-01  2.45005E-01  2.47505E-01
#           2.50005E-01  2.52505E-01  2.55005E-01  2.57505E-01  2.60005E-01
#           2.62505E-01  2.65005E-01  2.67505E-01  2.70005E-01  2.72505E-01
#           2.75004E-01  2.77504E-01  2.80004E-01  2.82504E-01  2.85004E-01
#           2.87504E-01  2.90004E-01  2.92504E-01  2.95004E-01  2.97504E-01
#           3.00004E-01  3.02504E-01  3.05004E-01  3.07504E-01  3.10004E-01
#           3.12504E-01  3.15004E-01  3.17504E-01  3.20004E-01  3.22504E-01
#           3.25004E-01  3.27503E-01  3.30003E-01  3.32503E-01  3.35003E-01
#           3.37503E-01  3.40003E-01  3.42503E-01  3.45003E-01  3.47503E-01
#           3.50003E-01  3.52503E-01  3.55003E-01  3.57503E-01  3.60003E-01
#           3.62503E-01  3.65003E-01  3.67503E-01  3.70003E-01  3.72503E-01
#           3.75003E-01  3.77502E-01  3.80002E-01  3.82502E-01  3.85002E-01
#           3.87502E-01  3.90002E-01  3.92502E-01  3.95002E-01  3.97502E-01
#           4.00002E-01  4.02502E-01  4.05002E-01  4.07502E-01  4.10002E-01
#           4.12502E-01  4.15002E-01  4.17502E-01  4.20002E-01  4.22502E-01
#           4.25001E-01  4.27501E-01  4.30001E-01  4.32501E-01  4.35001E-01
#           4.37501E-01  4.40001E-01  4.42501E-01  4.45001E-01  4.47501E-01
#           4.50001E-01  4.52501E-01  4.55001E-01  4.57501E-01  4.60001E-01
#           4.62501E-01  4.65001E-01  4.67501E-01  4.70001E-01  4.72501E-01
#           4.75000E-01  4.77500E-01  4.80000E-01  4.82500E-01  4.85000E-01
#           4.87500E-01  4.90000E-01  4.92500E-01  4.95000E-01  4.97500E-01
#           5.00000E-01
     axis =   eng           # axis of output
     file = deposit_Si.out  # file name of output for the above axis
     part =  28Si       25Mg       electron   positron   alpha      all      
# kf/name :  14000028   12000025   11         -11        2000004    0        
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         205 (  0)           0 (  0)         205 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    103

x: Deposit Energy [MeV]
y: Number [1/source]     
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(28Si    ),hh0l   n y(25Mg    ),hh0dr  n y(electron),hh0ub  n y(positron),hh0mg  n y(alpha   ),hh0qrr n y(all     ),hh0vbb n 
#  e-lower      e-upper      28Si        r.err    25Mg        r.err    electron    r.err    positron    r.err    alpha       r.err    all         r.err 
   6.2509E-02   6.5009E-02   9.3909E-06  0.0326   0.0000E+00  0.0000   2.6736E-06  0.0610   0.0000E+00  0.0000   0.0000E+00  0.0000   1.2064E-05  0.0288
   6.5009E-02   6.7509E-02   8.9754E-06  0.0333   0.0000E+00  0.0000   2.8995E-06  0.0586   0.0000E+00  0.0000   0.0000E+00  0.0000   1.1875E-05  0.0290
   6.7509E-02   7.0009E-02   7.8632E-06  0.0356   0.0000E+00  0.0000   2.5885E-06  0.0620   9.9789E-09  1.0000   0.0000E+00  0.0000   1.0468E-05  0.0309
   7.0009E-02   7.2509E-02   7.1195E-06  0.0374   0.0000E+00  0.0000   2.4901E-06  0.0632   0.0000E+00  0.0000   0.0000E+00  0.0000   9.6097E-06  0.0322
   7.2509E-02   7.5008E-02   7.3099E-06  0.0369   0.0000E+00  0.0000   2.2898E-06  0.0659   0.0000E+00  0.0000   0.0000E+00  0.0000   9.5997E-06  0.0322
   7.5008E-02   7.7508E-02   6.6620E-06  0.0387   0.0000E+00  0.0000   2.3104E-06  0.0656   0.0000E+00  0.0000   0.0000E+00  0.0000   8.9810E-06  0.0333
   7.7508E-02   8.0008E-02   5.7924E-06  0.0415   0.0000E+00  0.0000   2.3757E-06  0.0647   4.5754E-09  1.0000   0.0000E+00  0.0000   8.1727E-06  0.0349
   8.0008E-02   8.2508E-02   5.5416E-06  0.0424   0.0000E+00  0.0000   2.0732E-06  0.0693   0.0000E+00  0.0000   0.0000E+00  0.0000   7.6239E-06  0.0362
   8.2508E-02   8.5008E-02   5.2873E-06  0.0434   0.0000E+00  0.0000   2.2367E-06  0.0668   0.0000E+00  0.0000   0.0000E+00  0.0000   7.5241E-06  0.0364
   8.5008E-02   8.7508E-02   5.0194E-06  0.0446   0.0000E+00  0.0000   2.3051E-06  0.0657   0.0000E+00  0.0000   0.0000E+00  0.0000   7.3245E-06  0.0369
   8.7508E-02   9.0008E-02   4.3817E-06  0.0477   0.0000E+00  0.0000   2.0946E-06  0.0690   0.0000E+00  0.0000   0.0000E+00  0.0000   6.4763E-06  0.0393
   9.0008E-02   9.2508E-02   4.5678E-06  0.0467   0.0000E+00  0.0000   1.9998E-06  0.0706   8.4468E-09  1.0000   0.0000E+00  0.0000   6.5761E-06  0.0390
   9.2508E-02   9.5008E-02   3.8609E-06  0.0507   0.0000E+00  0.0000   2.0866E-06  0.0689   0.0000E+00  0.0000   0.0000E+00  0.0000   5.9474E-06  0.0410
   9.5008E-02   9.7508E-02   4.2074E-06  0.0487   0.0000E+00  0.0000   1.9296E-06  0.0718   0.0000E+00  0.0000   0.0000E+00  0.0000   6.1370E-06  0.0403
   9.7508E-02   1.0001E-01   4.0852E-06  0.0494   0.0000E+00  0.0000   1.8960E-06  0.0724   1.6192E-08  0.7260   0.0000E+00  0.0000   5.9973E-06  0.0408
   1.0001E-01   1.0251E-01   3.7244E-06  0.0517   0.0000E+00  0.0000   2.0833E-06  0.0692   0.0000E+00  0.0000   0.0000E+00  0.0000   5.8077E-06  0.0415
   1.0251E-01   1.0501E-01   3.4973E-06  0.0534   0.0000E+00  0.0000   1.9213E-06  0.0720   0.0000E+00  0.0000   0.0000E+00  0.0000   5.4185E-06  0.0429
   1.0501E-01   1.0751E-01   3.5885E-06  0.0527   0.0000E+00  0.0000   1.9897E-06  0.0707   0.0000E+00  0.0000   0.0000E+00  0.0000   5.5782E-06  0.0423
   1.0751E-01   1.1001E-01   3.1533E-06  0.0563   0.0000E+00  0.0000   1.8062E-06  0.0743   0.0000E+00  0.0000   0.0000E+00  0.0000   4.9595E-06  0.0449
   1.1001E-01   1.1251E-01   2.8896E-06  0.0587   0.0000E+00  0.0000   1.6907E-06  0.0768   9.9789E-09  1.0000   0.0000E+00  0.0000   4.5903E-06  0.0466
   1.1251E-01   1.1501E-01   2.9552E-06  0.0580   0.0000E+00  0.0000   1.6650E-06  0.0772   0.0000E+00  0.0000   0.0000E+00  0.0000   4.6202E-06  0.0465
   1.1501E-01   1.1751E-01   2.6028E-06  0.0619   0.0000E+00  0.0000   1.8378E-06  0.0736   0.0000E+00  0.0000   0.0000E+00  0.0000   4.4406E-06  0.0474
   1.1751E-01   1.2001E-01   2.4263E-06  0.0641   0.0000E+00  0.0000   1.8845E-06  0.0727   0.0000E+00  0.0000   0.0000E+00  0.0000   4.3109E-06  0.0481
   1.2001E-01   1.2251E-01   2.4190E-06  0.0641   0.0000E+00  0.0000   1.6946E-06  0.0765   7.6459E-09  1.0000   0.0000E+00  0.0000   4.1213E-06  0.0492
   1.2251E-01   1.2501E-01   2.3492E-06  0.0651   0.0000E+00  0.0000   1.7122E-06  0.0763   0.0000E+00  0.0000   0.0000E+00  0.0000   4.0614E-06  0.0496
