   4.7166E-03   5.8430E-03   2.9515E-06  0.0031
   5.8430E-03   7.2385E-03   2.9868E-06  0.0028
   7.2385E-03   8.9672E-03   3.0967E-06  0.0027
   8.9672E-03   1.1109E-02   3.1701E-06  0.0027
   1.1109E-02   1.3762E-02   3.2932E-06  0.0029
   1.3762E-02   1.7049E-02   3.3914E-06  0.0027
   1.7049E-02   2.1120E-02   3.5262E-06  0.0028
   2.1120E-02   2.6164E-02   3.6838E-06  0.0027
   2.6164E-02   3.2413E-02   3.9292E-06  0.0027
   3.2413E-02   4.0154E-02   3.9751E-06  0.0025
   4.0154E-02   4.9744E-02   4.3698E-06  0.0025
   4.9744E-02   6.1624E-02   4.4879E-06  0.0024
   6.1624E-02   7.6342E-02   4.9047E-06  0.0025
   7.6342E-02   9.4574E-02   5.1610E-06  0.0025
   9.4574E-02   1.1716E-01   5.4236E-06  0.0024
   1.1716E-01   1.4514E-01   6.1760E-06  0.0024
   1.4514E-01   1.7981E-01   7.1909E-06  0.0020
   1.7981E-01   2.2275E-01   6.4154E-06  0.0020
   2.2275E-01   2.7595E-01   7.8083E-06  0.0020
   2.7595E-01   3.4185E-01   8.9139E-06  0.0019
   3.4185E-01   4.2349E-01   7.4488E-06  0.0018
   4.2349E-01   5.2463E-01   9.1742E-06  0.0019
   5.2463E-01   6.4993E-01   1.2319E-05  0.0018
   6.4993E-01   8.0515E-01   1.2919E-05  0.0019
   8.0515E-01   9.9744E-01   7.7352E-06  0.0024
   9.9744E-01   1.2357E+00   6.3230E-08  0.0229
   1.2357E+00   1.5308E+00   3.2791E-08  0.0416
   1.5308E+00   1.8963E+00   3.1964E-08  0.0416
   1.8963E+00   2.3492E+00   4.5056E-08  0.0442
   2.3492E+00   2.9103E+00   4.9317E-08  0.0395
   2.9103E+00   3.6054E+00   4.5674E-08  0.0402
   3.6054E+00   4.4664E+00   4.6186E-08  0.0382
   4.4664E+00   5.5331E+00   5.6590E-08  0.0348
   5.5331E+00   6.8545E+00   5.7001E-08  0.0332
   6.8545E+00   8.4916E+00   5.9856E-08  0.0355
   8.4916E+00   1.0520E+01   4.1559E-08  0.0404
   1.0520E+01   1.3032E+01   0.0000E+00  0.0000
   1.3032E+01   1.6144E+01   0.0000E+00  0.0000
   1.6144E+01   2.0000E+01   0.0000E+00  0.0000

#   sum over                 3.6186E-04

'no. =  1,  reg  =      1'
msuc: {\huge [t-track] in region mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.17}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.1781E+05 [cm^3]
e:

#------------------------------------------------------------------------------
 newpage:
#   no. =  2   reg =      2

x: Energy [MeV]
y: Flux [1/cm^2/source]              
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(neutron ),hh0l   n 
#  e-lower      e-upper      neutron     r.err 
   1.0000E-08   1.2388E-08   2.4932E-06  0.0108
   1.2388E-08   1.5347E-08   3.4524E-06  0.0098
   1.5347E-08   1.9012E-08   4.6365E-06  0.0094
   1.9012E-08   2.3553E-08   6.0677E-06  0.0092
   2.3553E-08   2.9178E-08   7.6630E-06  0.0089
   2.9178E-08   3.6146E-08   9.3156E-06  0.0093
   3.6146E-08   4.4779E-08   1.0605E-05  0.0086
   4.4779E-08   5.5473E-08   1.1172E-05  0.0088
   5.5473E-08   6.8722E-08   1.0936E-05  0.0091
   6.8722E-08   8.5134E-08   9.6017E-06  0.0089
   8.5134E-08   1.0547E-07   7.4917E-06  0.0094
   1.0547E-07   1.3065E-07   5.0654E-06  0.0101
   1.3065E-07   1.6186E-07   3.1137E-06  0.0114
   1.6186E-07   2.0051E-07   1.7246E-06  0.0139
   2.0051E-07   2.4840E-07   1.0823E-06  0.0171
   2.4840E-07   3.0773E-07   8.5605E-07  0.0191
   3.0773E-07   3.8122E-07   7.8636E-07  0.0185
   3.8122E-07   4.7226E-07   7.6447E-07  0.0186
   4.7226E-07   5.8505E-07   7.5928E-07  0.0209
   5.8505E-07   7.2478E-07   7.0916E-07  0.0205
   7.2478E-07   8.9788E-07   7.0106E-07  0.0210
   8.9788E-07   1.1123E-06   7.4173E-07  0.0210
   1.1123E-06   1.3780E-06   7.0554E-07  0.0201
   1.3780E-06   1.7071E-06   7.0328E-07  0.0211
   1.7071E-06   2.1147E-06   6.9359E-07  0.0184
   2.1147E-06   2.6198E-06   6.9213E-07  0.0220
   2.6198E-06   3.2455E-06   6.8045E-07  0.0221
   3.2455E-06   4.0206E-06   7.1343E-07  0.0179
   4.0206E-06   4.9808E-06   6.9121E-07  0.0227
   4.9808E-06   6.1703E-06   6.7459E-07  0.0216
   6.1703E-06   7.6440E-06   6.6856E-07  0.0216
   7.6440E-06   9.4696E-06   6.6079E-07  0.0206
   9.4696E-06   1.1731E-05   6.4495E-07  0.0215
   1.1731E-05   1.4533E-05   6.3468E-07  0.0218
   1.4533E-05   1.8004E-05   6.5566E-07  0.0196
   1.8004E-05   2.2303E-05   6.2041E-07  0.0216
   2.2303E-05   2.7630E-05   6.3968E-07  0.0207
   2.7630E-05   3.4229E-05   6.3426E-07  0.0212
   3.4229E-05   4.2403E-05   6.1721E-07  0.0211
   4.2403E-05   5.2531E-05   5.9686E-07  0.0196
   5.2531E-05   6.5076E-05   6.1735E-07  0.0214
   6.5076E-05   8.0618E-05   5.9013E-07  0.0203
   8.0618E-05   9.9872E-05   6.0190E-07  0.0203
   9.9872E-05   1.2372E-04   5.9256E-07  0.0208
   1.2372E-04   1.5327E-04   5.6093E-07  0.0229
   1.5327E-04   1.8988E-04   5.5213E-07  0.0186
   1.8988E-04   2.3523E-04   5.7524E-07  0.0202
   2.3523E-04   2.9140E-04   5.6239E-07  0.0187
   2.9140E-04   3.6100E-04   5.4810E-07  0.0191
   3.6100E-04   4.4721E-04   5.4286E-07  0.0174
   4.4721E-04   5.5402E-04   5.4437E-07  0.0176
   5.5402E-04   6.8633E-04   5.2045E-07  0.0158
   6.8633E-04   8.5025E-04   5.1628E-07  0.0141
   8.5025E-04   1.0533E-03   5.1493E-07  0.0084
   1.0533E-03   1.3049E-03   5.0860E-07  0.0052
   1.3049E-03   1.6165E-03   5.0486E-07  0.0049
   1.6165E-03   2.0026E-03   5.1398E-07  0.0051
   2.0026E-03   2.4808E-03   5.2731E-07  0.0050
   2.4808E-03   3.0733E-03   4.0240E-07  0.0050
   3.0733E-03   3.8073E-03   4.3839E-07  0.0055
   3.8073E-03   4.7166E-03   4.6801E-07  0.0056
   4.7166E-03   5.8430E-03   4.6858E-07  0.0052
